Username,User,wordbuilder,P,busan,P,mineral,P,Global,P
user_010,krit3379 ,100.0,,100.0,,100.0,,300.0,
user_066,fruitcake ,100.0,,100.0,,100.0,,300.0,
user_110,Black Thunder ,100.0,,100.0,,100.0,,300.0,
user_002,ttamx ,100.0,,100.0,,20.0,,220.0,
user_128,อะไรก็ได้เอามาเหอะ ,100.0,,100.0,,20.0,,220.0,
user_005,DeepAung ,100.0,,100.0,,9.0,,209.0,
user_068,kunzaZa183 ,100.0,,100.0,,0.0,,200.0,
user_076,nnin ,100.0,,49.0,,25.0,,174.0,
user_001,พีทเล่นกี(ตาร์)2 ,100.0,,45.0,,25.0,,170.0,
user_069,Naxocist ,100.0,,49.0,,13.0,,162.0,
user_037,sleepntsheep ,100.0,,34.0,,25.0,,159.0,
user_055,{0}-{0}- ,100.0,,45.0,,13.0,,158.0,
user_105,พีทเล่นกี(ตาร์)1 ,100.0,,26.0,,28.0,,154.0,
user_003,12345678 ,100.0,,49.0,,4.0,,153.0,
user_052,cbup ,100.0,,34.0,,18.0,,152.0,
user_033,opal_Inwza007x ,100.0,,30.0,,20.0,,150.0,
user_097,;-; ,100.0,,45.0,,4.0,,149.0,
user_126,athensclub ,100.0,,45.0,,0.0,,145.0,
user_011,Blackslex ,100.0,,11.0,,25.0,,136.0,
user_107,พีทเล่นกี(ตาร์)5 ,100.0,,11.0,,25.0,,136.0,
user_049,Siravit Keeratipranon ,100.0,,11.0,,25.0,,136.0,
user_077,Azther0z ,100.0,,11.0,,21.0,,132.0,
user_004,kornkin ,100.0,,0.0,,32.0,,132.0,
user_016,Khiem ,100.0,,26.0,,4.0,,130.0,
user_012,Dachatorn Chitnatham ,100.0,,0.0,,25.0,,125.0,
user_072,Wachi ,100.0,,0.0,,25.0,,125.0,
user_075,Fnzx ,100.0,,0.0,,21.0,,121.0,
user_078,p8 ,100.0,,0.0,,21.0,,121.0,
user_019,spycoderyt ,100.0,,0.0,,21.0,,121.0,
user_013,CCY ,100.0,,0.0,,20.0,,120.0,
user_095,neeter ,100.0,,0.0,,20.0,,120.0,
user_080,ChokuneseBoi ,100.0,,0.0,,20.0,,120.0,
user_026,PPangpond ,100.0,,11.0,,9.0,,120.0,
user_029,Riodsa ,100.0,,0.0,,20.0,,120.0,
user_038,Kongggwp ,100.0,,0.0,,20.0,,120.0,
user_017,JungPS ,100.0,,0.0,,13.0,,113.0,
user_081,Josephuu ,100.0,,0.0,,13.0,,113.0,
user_057,North1304 ,100.0,,0.0,,13.0,,113.0,
user_122,MisterO ,100.0,,0.0,,13.0,,113.0,
user_023,naphattar ,100.0,,0.0,,13.0,,113.0,
user_022,detective conan ,100.0,,0.0,,13.0,,113.0,
user_092,Pakin Sukchan ,100.0,,0.0,,13.0,,113.0,
user_046,phone64bit ,100.0,,0.0,,13.0,,113.0,
user_106,PEATGT6 ,100.0,,0.0,,13.0,,113.0,
user_008,ItsGuitar ,100.0,,0.0,,13.0,,113.0,
user_073,Phoenix Palaray ,100.0,,0.0,,13.0,,113.0,
user_054,°F ,100.0,,0.0,,9.0,,109.0,
user_096,Kormuyang ,100.0,,0.0,,9.0,,109.0,
user_103,chawinkn ,100.0,,0.0,,9.0,,109.0,
user_112,sayhi7562 ,100.0,,0.0,,9.0,,109.0,
user_115,MasterDobby ,100.0,,0.0,,4.0,,104.0,
user_101,แง้งงงงงง ,100.0,,0.0,,4.0,,104.0,
user_034,NATSR ,100.0,,0.0,,0.0,,100.0,
user_099,Karnhh._. ,100.0,,0.0,,0.0,,100.0,
user_020,Tun ,100.0,,0.0,,0.0,,100.0,
user_065,Gital ,100.0,,0.0,,0.0,,100.0,
user_018,Angry Birds ,100.0,,0.0,,0.0,,100.0,
user_090,Sainen420 ,100.0,,0.0,,0.0,,100.0,
user_051,LeLouch ,100.0,,0.0,,0.0,,100.0,
user_053,PikachudoraEHE ,100.0,,0.0,,0.0,,100.0,
user_083,NineSama ,100.0,,0.0,,0.0,,100.0,
user_024,PPock ,100.0,,0.0,,0.0,,100.0,
user_124,KG07 ,100.0,,0.0,,0.0,,100.0,
user_087,pop_xoplop ,100.0,,0.0,,0.0,,100.0,
user_100,qoyui1 ,100.0,,0.0,,0.0,,100.0,
user_070,peteza ,100.0,,0.0,,0.0,,100.0,
user_117,Memory ,100.0,,0.0,,0.0,,100.0,
user_102,PalmPalmPalm ,100.0,,0.0,,0.0,,100.0,
user_127,aphrodicez ,100.0,,0.0,,0.0,,100.0,
user_061,hys_x ,66.0,,0.0,,0.0,,66.0,
user_116,sc sw ,66.0,,0.0,,0.0,,66.0,
user_060,DNA99 ,52.0,,0.0,,0.0,,52.0,
user_062,ethan_w1nter ,12.0,,0.0,,13.0,,25.0,
user_091,NaughtyCatYoung ,0.0,,0.0,,21.0,,21.0,
user_119,ต้องมีอะไรผิดพลาดตรงไหน ไม่เข้าใจเลยสักครั้ง ,0.0,,0.0,,13.0,,13.0,
user_089,uwuflex ,0.0,,0.0,,9.0,,9.0,
user_035,Somepeople ,0.0,,0.0,,9.0,,9.0,
user_044,AngryBird ,0.0,,0.0,,7.0,,7.0,
user_032,Zekyth ,0.0,,0.0,,0.0,,0.0,
user_025,กิตติปกรณ์ สีนาค ,0.0,,0.0,,0.0,,0.0,
user_040,GUGUG ,0.0,,0.0,,0.0,,0.0,
user_006,Ballwaitin ,0.0,,0.0,,0.0,,0.0,
user_074,JedizR ,0.0,,0.0,,0.0,,0.0,
user_059,Lnwphonnn ,0.0,,0.0,,0.0,,0.0,
user_036,Tsuky ,0.0,,0.0,,0.0,,0.0,
user_084,yingyang ,0.0,,0.0,,0.0,,0.0,
user_058,BEST99 ,0.0,,0.0,,0.0,,0.0,
user_104,Kaitniyom Thongiam ,0.0,,0.0,,0.0,,0.0,
user_009,PogusTheWhisper ,0.0,,0.0,,0.0,,0.0,
user_088,-- ,0.0,,0.0,,0.0,,0.0,
user_129,กล้ามาก เก่งมาก ขอบใจ ,0.0,,0.0,,0.0,,0.0,
user_042,TK ,0.0,,0.0,,0.0,,0.0,
user_047,Pp ,0.0,,0.0,,0.0,,0.0,
user_123,มหาเทพพีทแห่งมอบออูบู ,0.0,,0.0,,0.0,,0.0,
user_031,parinzee ,0.0,,0.0,,0.0,,0.0,
user_082,boss ,0.0,,0.0,,0.0,,0.0,
user_014,PMai ,0.0,,0.0,,0.0,,0.0,
user_030,susunab ,0.0,,0.0,,0.0,,0.0,
user_064,BbtT ,0.0,,0.0,,0.0,,0.0,
user_021,Uniq0rn ,0.0,,0.0,,0.0,,0.0,
user_093,HTUq ,0.0,,0.0,,0.0,,0.0,
user_028,litnps ,0.0,,0.0,,0.0,,0.0,
user_111,Ham1477 ,0.0,,0.0,,0.0,,0.0,
user_007,Guntinun Sawatvong ,0.0,,0.0,,0.0,,0.0,
user_118,First ,0.0,,0.0,,0.0,,0.0,
user_098,iampojjjjjjjjj ,0.0,,0.0,,0.0,,0.0,
user_043,blind blood hound ,0.0,,0.0,,0.0,,0.0,
user_041,Kunpong ,0.0,,0.0,,0.0,,0.0,
user_120,shp ,0.0,,0.0,,0.0,,0.0,
user_056,Userz.crs ,0.0,,0.0,,0.0,,0.0,
user_039,Sovereign ,0.0,,0.0,,0.0,,0.0,
user_085,cc ,0.0,,0.0,,0.0,,0.0,
user_071,trinerfolker ,0.0,,0.0,,0.0,,0.0,
user_086,Attogafo ,0.0,,0.0,,0.0,,0.0,
user_048,DraSoGun ,0.0,,0.0,,0.0,,0.0,
user_094,Chicken ,0.0,,0.0,,0.0,,0.0,
user_108,krist7599555 ,0.0,,0.0,,0.0,,0.0,
user_015,SmartWatt ,0.0,,0.0,,0.0,,0.0,
user_050,lawiet ,0.0,,0.0,,0.0,,0.0,
user_109,Anonymeaw ,0.0,,0.0,,0.0,,0.0,
user_121,ฟ ,0.0,,0.0,,0.0,,0.0,
user_113,KarinNon ,0.0,,0.0,,0.0,,0.0,
user_125,KongCXA ,0.0,,0.0,,0.0,,0.0,
user_063,Tatata ,0.0,,0.0,,0.0,,0.0,
user_114,IN83ANE ,0.0,,0.0,,0.0,,0.0,
user_067,helloworld007 ,0.0,,0.0,,0.0,,0.0,
user_045,VoraoonTalt ,0.0,,0.0,,0.0,,0.0,
