Username,User,mangoes,P,oranges,P,tourist,P,Global,P
user_010,krit3379 ,100.0,,100.0,,100.0,,300.0,
user_128,อะไรก็ได้เอามาเหอะ ,100.0,,100.0,,100.0,,300.0,
user_066,fruitcake ,100.0,,100.0,,100.0,,300.0,
user_070,peteza ,100.0,,100.0,,100.0,,300.0,
user_002,ttamx ,100.0,,100.0,,100.0,,300.0,
user_037,sleepntsheep ,100.0,,100.0,,28.0,,228.0,
user_005,DeepAung ,100.0,,100.0,,28.0,,228.0,
user_001,พีทเล่นกี(ตาร์)2 ,100.0,,100.0,,28.0,,228.0,
user_055,{0}-{0}- ,100.0,,100.0,,28.0,,228.0,
user_105,พีทเล่นกี(ตาร์)1 ,100.0,,100.0,,28.0,,228.0,
user_076,nnin ,100.0,,100.0,,9.0,,209.0,
user_110,Black Thunder ,100.0,,100.0,,0.0,,200.0,
user_011,Blackslex ,100.0,,100.0,,0.0,,200.0,
user_080,ChokuneseBoi ,100.0,,100.0,,0.0,,200.0,
user_107,พีทเล่นกี(ตาร์)5 ,100.0,,100.0,,0.0,,200.0,
user_054,°F ,100.0,,100.0,,0.0,,200.0,
user_124,KG07 ,100.0,,100.0,,0,,200.0,
user_127,aphrodicez ,100.0,,100.0,,0.0,,200.0,
user_115,MasterDobby ,100.0,,100.0,,0.0,,200.0,
user_057,North1304 ,49.0,,100.0,,0.0,,149.0,
user_017,JungPS ,49.0,,100.0,,0.0,,149.0,
user_022,detective conan ,49.0,,100.0,,0.0,,149.0,
user_049,Siravit Keeratipranon ,49.0,,100.0,,0.0,,149.0,
user_023,naphattar ,49.0,,100.0,,0.0,,149.0,
user_026,PPangpond ,49.0,,100.0,,0.0,,149.0,
user_090,Sainen420 ,100.0,,39.0,,9.0,,148.0,
user_004,kornkin ,100.0,,0.0,,9.0,,109.0,
user_052,cbup ,100.0,,0.0,,0.0,,100.0,
user_018,Angry Birds ,100.0,,0.0,,0.0,,100.0,
user_051,LeLouch ,100.0,,0.0,,0.0,,100.0,
user_106,PEATGT6 ,100.0,,0.0,,0.0,,100.0,
user_099,Karnhh._. ,49.0,,39.0,,0.0,,88.0,
user_016,Khiem ,49.0,,39.0,,0.0,,88.0,
user_069,Naxocist ,49.0,,0.0,,28.0,,77.0,
user_012,Dachatorn Chitnatham ,49.0,,25.0,,0.0,,74.0,
user_075,Fnzx ,49.0,,25.0,,0.0,,74.0,
user_038,Kongggwp ,49.0,,14.0,,9.0,,72.0,
user_003,12345678 ,49.0,,14.0,,0.0,,63.0,
user_019,spycoderyt ,49.0,,14.0,,0.0,,63.0,
user_029,Riodsa ,49.0,,0.0,,9.0,,58.0,
user_020,Tun ,49.0,,0.0,,9.0,,58.0,
user_033,opal_Inwza007x ,49.0,,0.0,,9.0,,58.0,
user_077,Azther0z ,49.0,,0.0,,9.0,,58.0,
user_103,chawinkn ,49.0,,0.0,,9.0,,58.0,
